Qn,Test,Qn_Text,Subspec,A,B,C,D,E,Ans,Pc_A,Pc_B,Pc_C,Pc_D,Pc_E,Explanation,GPT3_marking,GPT3_explain,Cat,Cat_Long,GPT3_ans_letter,GPT4_marking,GPT4_explain,GPT4_ans_letter,GPT35_marking,GPT35_ans_letter
13856,206687,You are performing an ultrasound of a 3 week old baby’s spine. At which vertebral level does the spinal cord terminate in neonates? Select ONE answer only.,SBA: Musculoskeletal and Trauma,L3,L2,L4,L5,S1,A,64%,23%,7%,3%,2%,"Explanation:
The spinal cord terminates at L1/2 in adults and L3 in infants. By 2 months of age, a baby's cord should sit in the same position as an adults; between L1-L2. The subarachnoid space ends at S2 in adults and also lies lower in infants.",FALSE,I chose this answer because the spinal cord generally terminates at the L4 vertebral level in neonates. This is because the lumbar vertebrae are still developing and the spine is still relatively short at this age.,1,"3. A question about the application of knowledge, how to apply knowledge to a given situation?

1. Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",D,TRUE,,A,FALSE,B
14177,206687,A 22-year-old woman presents with a 3-month history of lower back pain. She has also noticed pain in her left sternoclavicular joint. She undergoes x-rays of her shoulder which shows that the joint space is well preserved but there is bony expansion and ankylosis. A subsequent MRI scan is reported as showing new bone formation with oedema and synovitis at the sternoclavicular joint. There is no discernible collection. She goes on to have a nuclear medicine scan which shows uptake in both sternoclavicular joints. Old x-rays of her pelvis show left sided sclerosis of the sacroiliac joint. What is the most likely diagnosis? Select ONE answer only.,SBA: Musculoskeletal and Trauma,SAPHO,Septic arthritis,Osteoarthritis,Rheumatoid arthritis,Osteomyelitis,A,93%,1%,1%,5%,1%,"Explanation:
SAPHO (Synovitis, acne, palmoplantar pustulosis, hyperostosis, osteitis)
This disease is thought to be a variant of psoriatic arthropathy. The cutaneous manifestations may not be apparent at diagnosis (like psoriatic arthropathy) but hyperostosis and osteolysis and ankylosis of the sternocleidomastoid joint is absolutely typical. On a nuclear medicine bone scan, bilateral uptake in the sternoclavicular joints and manubrium is called a ‘bull’s head’ sign. About a third of patients also have spinal disease with paravertebral ossifications and osteosclerosis. Unilateral sacroiliitis may also occur. Appearances can be quite striking on CT. In the knees, ankles and small joints of the hands there may be inflammation of the joints with juxta-articular osteoporosis.",TRUE,"I chose answer 2 because the symptoms and imaging results are most consistent with SAPHO (synovitis, acne, pustulosis, hyperostosis, and osteitis) syndrome. SAPHO syndrome is a rare disorder characterized by chronic inflammation of the joints and bones. It is most commonly seen in the sternoclavicular joint, as well as the sacroiliac joint, which is what the patient's x-rays showed. It can also cause bone formation and ankylosis, which the patient's MRI scan showed. The nuclear medicine scan further confirmed the presence of SAPHO syndrome.",2,"2. A question about clinical judgement, what is the correct diagnosis?",A,TRUE,,A,FALSE,C
13877,206687,A 56-year-old woman presents with neck discomfort with pain and weakness in her arms and hands. She undergoes an MRI of her cervical spine for further assessment. The C7/T1 vertebral disc is seen to extrude posteriorly and effaces the exiting nerve root. Which nerve root is most likely to be affected? Select ONE answer only.,SBA: Musculoskeletal and Trauma,C8,C6,C7,T1,T2,A,69%,1%,9%,18%,2%,"Explanation:
In the cervical spine the nerve roots exit at the spinal cord without needing to traverse (as in the lumbar spine). The exiting nerve root takes the name of the vertebra BELOW the affected disc. A disc protrusion at C3/4 will affect the C4 nerve root. This allows for the extra nerve root at C8 before reaching the thoracic spine.
In the thoracic spine the affected level takes its name from the vertebral body ABOVE that level. In the lumbar spine the exiting nerve root is usually compressed in the neural foramen, whereas the traversing nerve root is compressed usually in the lateral recess. Far lateral bulges affect the exiting nerve root (takes its name from the vertebral body ABOVE that level). Paracentral bulges affect the traversing nerve root (takes its name from the vertebral body BELOW that level).",FALSE,"The C7/T1 vertebral disc is seen to extrude posteriorly and efface the exiting nerve root. This means that the disc is pressing on the nerve root as it exits the spine. Since the disc is located between the C7 and T1 vertebrae, the nerve root that is most likely affected is the C7 nerve root.",1,"3. A question about problem solving, what is the best course of action?

3. A question about problem solving, what is the best course of action?",C,FALSE,,C,FALSE,B
12331,206687,You are reviewing a CT scan of the temporal bone from an ENT outpatient clinic. The vestibular aqueduct is very small. What is the most likely consequence?,SBA: Central Nervous and Head & Neck,Meniere disease,Pendred syndrome,Mondini malformation,Cochlear hypoplasia,Tullio phenomenon,A,42%,9%,20%,19%,10%,"Explanation:
Meniere disease is an idiopathic condition of the inner ear structures giving rise to symptoms principally of vertigo and tinnitus. Radiologically the vestibular aqueduct is seen to be either small or not visible.
Pendred syndrome – this is an inherited cause of sensorineural hearing loss. It is associated with a large vestibular aqueduct.
Mondini syndrome – this is a specific malformation of the cochlea where there are only 1.5 turns instead of 2.5. It is associated with a large vestibular aqueduct.
Cochlear hypoplasia – some cochlear hypoplasias can be associated with large vestibular aqueducts.
Tullio phenomenon – this refers to vertigo and nystagmus induced by loud noises. It is caused by superior semicircular canal dehiscence.",FALSE,Pendred Syndrome is a genetic disorder that is characterized by a small vestibular aqueduct. It is associated with hearing loss and is the most likely consequence of a small vestibular aqueduct seen on a CT scan.,3,"3. A question about the interpretation of a clinical image. 

3. A question about the interpretation of a clinical image.",B,FALSE,,B,TRUE,A
14478,206687,"A 64-year-old man is brought to the Emergency Department by his worried wife. She describes a sudden collapse at home and on examination it is evident that he has loss of power and sensation below T7 on the left, with pain and temperature loss on the contralateral side. An urgent MRI is requested which shows high T2 signal in the T7 vertebral body and high signal of cord at T7. There is no significant adjacent disc disease. Which ONE of the following is NOT a cause of Brown-Sequard syndrome?",SBA: Central Nervous and Head & Neck,Subacute combined degeneration of the cord,Arteriovenous malformation,Paracentral disc prolapse,Post-LP haematoma,Poly-trauma,A,69%,11%,15%,4%,2%,"Explanation:
Brown-Sequard syndrome
This is a specific finding where damage to to one side of the spinal cord causes ipsilateral loss of touch sensation and contralateral loss of pain and temperature sensation due to damage to the lateral spinothalamic tracts (contralateral since these ascend after having crossed). There is also ipsilateral motor function loss.
  Causes of Brown-Sequard syndrome
Traumatic:
Penetrating injury
Mechanical trauma e.g. RTA
Iatrogenic injury
Compression e.g. disc herniation
Spinal cord tumour
  Vascular:
Aortic aneurysm repair complication
Vertebral artery dissection
Spinal cord haemorrhage
  Spinal cord infarction
The vascular supply to the spinal cord is derived largely from the vertebral arteries or intercostal arteries with one longitudinal running anterior spinal cord artery and two small longitudinally running posterior spinal cord arteries.
The artery of Adamkiewicz is a particularly large segmental artery supplying the anterior spinal artery from around the level of T9. It is responsible for most of the spinal cord blood supply for the lumbar spinal cord. Damage during aortic surgery or trauma can result in spinal cord infarction.
Usually any vascular insult results in a reasonably rapid onset of symptoms. Spinal cord infarctions are no exception. Often more than one vertebral level is affected.
An MRI will showT2 hyperintensity of at least the central grey matter (if not the whole cross-section of the cord) due to oedema. As with intracranial infarctions there will be restriction of diffusion on the DWI sequences.
Particularly in the thoracic spine, the adjacent vertebral body may also lose its blood supply and undergo infarction.
  Subacute combined degeneration
This is a curious condition which can be subtle to detect. A deficiency of vitamin B12 (usually caused by malabsorption) leads to degeneration within the dorsal columns of the cord. The dorsal columns carry nerves responsible for position and vibration sense and as such patients present with loss of these senses as well as sensory ataxia (balance significantly deteriorates when the patient’s eyes are shut thereby excluding visual stabilisation as opposed to sensory stabilisation), and hyperreflexia.
On an MRI scan there will be (if the resolution allows), a longitudinal line of high T2 signal within the cord on sagittal sequences, and often a characteristic 'inverted-V' shape of high T2 signal on axial sequences. In some cases, the 'V' is clearly seen and in others it is harder to appreciate, and the finding is more of high T2 signal bilaterally and symmetrically in the region of the posterior columns.",FALSE,"I chose 4. Poly-trauma as the answer because Brown-Sequard Syndrome is caused by an injury to one side of the spinal cord, resulting in a loss of sensation on the contralateral side and a loss of power on the ipsilateral side. Poly-trauma is an injury involving multiple parts of the body, and is not typically associated with Brown-Sequard Syndrome.",1,"3. A question about clinical reasoning, what is the best course of action?

This question falls under category 3: A question about clinical reasoning, what is the best course of action?",A,TRUE,,A,FALSE,C
11716,206687,You are performing an ultrasound scan on a 4-year-old boy who has recently been found to have a large abdominal mass. It is displacing the kidney inferiorly and encasing the aorta. Which of the following would help differentiate a neuroblastoma from a Wilms tumour?,SBA: Paediatrics,Encasement of the aorta,Kidney displaced by tumour,No renal vein invasion,Presence of renal cysts,Presence of lung metastases,A,60%,17%,18%,1%,5%,"Explanation:
Both tumours can displace the kidney although this feature is more closely associated with neuroblastomas. Similarly both tumours can present with lung metastases but they are far more common with Wilms tumours. Wilms tumours can show heterogeneity which may be mistaken for renal cysts but otherwise neither are particularly associated with them. It is perfectly possible for neither tumour to show renal vein invasion.
This leaves encasement of the aorta which is a feature strongly associated with neuroblastoma.
  Neuroblastoma
This is the most common solid abdominal mass in infants and second most common in children of all ages (after Wilms tumours). Most are adrenal in location, around a third develop in the retroperitoneum and a fifth are located in the posterior mediastinum. Presentation can be with abdominal pain, a mass, or a fever. Most (95%) secrete catecholamines such as VMA (vanillylmandelic acid – leads to hypertension) or VIP (vasoactive intestinal polypeptides – leads to watery diarrhoea). There are also a few distinct clinical syndromes which herald the presence of a neuroblastoma.
  Syndrome
Details
Blueberry muffin syndrome
Metastatic cutaneous deposits
Opsomyoclonus
Rapid jerky eye movements and myoclonic jerks of the legs. This occurs in around 2% of neuroblastoma cases but around 50% of patients with opsomyoclonus have a neuroblastoma.
Hutchinson syndrome
Limping due to bony metastases
  On imaging they appear as a very large abdominal mass with or without speckled calcification within in. The kidney can either be invaded or just displaced inferiorly, causing a ‘drooping lily’ appearance on urography (where contrast within the inferiorly displaced renal calyces has the appearance of a lily flower with its head hanging down). Neuroblastomas tend to encase large vessels such as the IVC, as opposed to displacing them as Wilms tumours are prone to doing. Staging is performed with an 123I-MIBG scan (as opposed to a 99mTc-MDP bone scan) and importantly within the staging it is actually stage IVs (disease involving the skin, bone marrow and liver) which has the best prognosis.
  Wilms tumour also known as a nephroblastoma
This is the most common abdominal mass in children under the age of 8. There are reasonably strong associations with renal anomalies, genital anomalies, aniridia and Beckwith-Wiedemann syndrome (although the last of these also has an association with neuroblastoma). Presentation is usually with an abdominal mass and/or pain.
  10% tumour – Wilms
Calcification
Vascular invasion
Bilateral
Lung metastases
Poor histology
  On imaging the masses are usually heterogenous. Cystic areas can often be seen secondary to areas of necrosis. The claw sign occurs when there is a rim of normal renal tissue extending part of the way around the mass. A Wilms tumour is often described as enhancing but less so than the adjacent normal renal parenchyma.
  Feature
Neuroblastoma
Wilms tumour
Peak age
2 years
3-4 years
Kidney
Drooping lily sign – displaced downwards, if not invaded.
Claw sign – rim of normal renal tissue extending around the mass
Crosses midline
More common
Less common
Calcification
More common
Regular and stippled
Less common
Curvilinear and phleobliths
IVC
Encases
Displaces and/or invades",TRUE,"Wilms tumor is a type of kidney cancer that usually affects young children. It is usually located in the kidney, but can also spread to other organs. Neuroblastoma, on the other hand, is a cancer of the nervous system that commonly originates in the adrenal glands. It can also spread to other organs, including the kidney. Encasement of the aorta is a common feature of neuroblastoma, but not of Wilms tumor. Therefore, the presence of encasement of the aorta can help differentiate a neuroblastoma from a Wilms tumor.",2,"This question falls under category 2: A question about clinical judgement, what is the correct diagnosis?",A,FALSE,,C,TRUE,A
14137,206687,An 80-year-old man is undergoing pre-operative assessment prior to a routine TURP procedure for some troublesome lower urinary tract symptoms. When his PSA is found to be markedly elevated he undergoes an MRI scan for further investigation. Which of the following regarding prostate cancer in the transitional zone is FALSE? Select ONE answer only.,"SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",A negative trans-rectal biopsy is reassuring,A non-circumscribed low T2 lesion is most likely to be cancer,Are usually organ-confined at presentation,Can be masked by BPH changes,Around 30% of prostate cancers occur in the transitional zone,A,79%,7%,4%,3%,8%,"Explanation:
Please note that the question asks which answer is FALSE.
Transitional zone cancers are less common than peripheral zone cancers but do occur and account for around 30% of prostate cancers. They are often harder to detect clinically due to their central location, and can be occult on imaging owing to overlap and confusion, in particular in patients with benign prostatic hypertrophy since it is the transitional zone which is involved in BPH. BPH leads to a heterogenous and enlarged appearance to the transitional zone which can obscure smaller lesions. On the plus side however, they are more often organ-confined since their central location effectively cushions them from capsular breach for longer. Their central location within the prostate cancer does however mean that trans-rectal biopsies may be falsely reassuring if negative, having missed the lesion due to lesion-depth within the prostate. Clinicians should have a low threshold for repeat-biopsies.
Peripheral zone
The highest grade of suspicion for malignancy in the peripheral zone is indicated by the presence of marked restricted diffusion (focal high b-value and corresponding low ADC signal), with a PIRADS 5 lesion being one that is greater than 1.5 cm. PIRADS 3 lesions will show some restricted diffusion but this is far less (subjective analysis) than for PIRADS 4 lesions. Dynamic contrast enhancement is used for assessment of peripheral zone lesions only - differentiating between lesions which show only limited restricted diffusion. If there is dynamic contrast enhancement with a type 3 washout curve, the lesion becomes a PIRADS 4 lesion despite the only limited restriction in diffusion.
Transitional zone
The highest grade of suspicion for transitional zone lesions is reserved for moderate T2 lesion which is lenticular or non-circumscribed and moderately T2 hypointense (PIRADS 5 >1.5 cm).
Three plane T2 imaging is common practice and enables full assessment of the peripheral zone of the prostate, particularly examining for extra-capsular extension, bladder base or seminal vesical invasion. T2 is also the most important sequence for lesions in the transitional zone.
The T1 weighted sequences are also useful to check for the presence of any haemorrhagic foci although since most patients now undergo their MRI scan prior to any biopsies being taken this has become far less important.
Interestingly the ADC map is more sensitive for carcinoma of the prostate (in the peripheral zone) than the DWI sequences. A finding of focal low signal on the ADC map may be seen in the absence of a corresponding high DWI focus. In the transitional zone however, the T2 sequences are more sensitive.",FALSE,"I chose 3. Are usually organ-confined at presentation because prostate cancer in the transitional zone is not usually organ-confined at presentation. It is more likely to be locally advanced or metastatic, and can spread to other organs.",1,"3. A question about the application of knowledge, how to apply knowledge in a real-world situation?

This question falls under category 1: Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",C,TRUE,,A,FALSE,E
11041,206687,Which of the following is NOT a cause of eggshell calcification of thoracic lymph nodes? Select one answer only.,SBA: Cardiothoracic and vascular,Asbestosis,Coal workers pneumoconiosis,Sarcoidosis,Tuberculosis,Talcosilicosis,A,71%,6%,4%,12%,8%,"Explanation:
Eggshell calcification 
When the outer rim of a lymph node becomes calcified it is seen on CT as eggshell calcification. There is a relatively specific differential diagnosis for diseases which can manifest in this way. 
Fibrosing mediastinitis
Amyloidosis
Pneumoconioses - silicosis and coal workers only. Not seen in most others.
Sarcoidosis 
Scleroderma 
Treated lymphoma (ie post radiotherapy)
TB
Histoplasmosis",FALSE,"Talcosilicosis is not a cause of eggshell calcification of thoracic lymph nodes because it is a lung disease caused by the inhalation of talc and silica dust, and does not affect the lymph nodes. Eggshell calcification of thoracic lymph nodes is caused by conditions such as asbestosis, coal workers pneumoconiosis, sarcoidosis, and tuberculosis.",1,"3. A question about interpreting a medical image.

1. Basic factual recall",E,TRUE,,A,TRUE,A
13993,206687,"A 70-year-old male smoker with a history of COPD develops worsening breathlessness, peripheral oedema, chest pain and palpitations. Pulmonary artery catheterisation is performed and he has pulmonary artery hypertension. Which SINGLE statement regarding the pulmonary arteries is true?",SBA: Cardiothoracic and vascular,The pulmonary trunk is located anteriorly and medially to the right atrium,The right pulmonary artery divides into three arteries that supply the three lobes of the right lung,The right pulmonary artery is thinner and shorter than the left,"They receive oxygenated blood from the lungs, and deliver it to the left atrium",The pulmonary trunk always lies posterior to the ascending aorta,A,55%,17%,10%,4%,14%,"Explanation:
The pulmonary arteries receive deoxygenated blood from the right ventricle and deliver it to the lungs.
The pulmonary arteries begin as the short and wide pulmonary trunk at the base of the right ventricle. It is separated from the right ventricle by the pulmonary valve and is located anteriorly and medially to the right atrium.
The ascending aorta and pulmonary trunk twist around each other, with the aorta initially lying posterior to the pulmonary trunk, before twisting to the right and lying anteriorly to it.
The pulmonary trunk divides into the left and right pulmonary arteries. The left pulmonary artery supplies blood to the left lung and further divides into two separate arteries to supply each lobe of the lung. The right pulmonary artery is thicker and longer than the left and supplies blood to the right lung. It also bifurcates into two arteries, despite providing a blood supply to three lobes.
  Anatomical image from Grey's Anatomy showing the left lung on the LEFT and the right lung on the RIGHT",FALSE,"I chose this answer because it is the only statement that accurately describes the pulmonary arteries. The pulmonary arteries receive oxygenated blood from the lungs and deliver it to the left atrium of the heart. The right pulmonary artery divides into three arteries that supply the three lobes of the right lung, and the left pulmonary artery divides into two arteries that supply the two lobes of the left lung. The pulmonary trunk is located anteriorly and medially to the right atrium, and the pulmonary trunk usually lies posterior to the ascending aorta, but this is not always the case.",1,"3. A question about management, what is the best treatment?

This question falls under category 3: A question about management, what is the best treatment?",A,FALSE,,B,FALSE,E
14164,206687,A 23-year-old goalkeeper injures her thumb during a football match. The radiograph demonstrates an avulsion fracture of the proximal end of the proximal phalanx of the thumb. Which fracture is described? Select ONE answer only.,SBA: Musculoskeletal and Trauma,Gamekeeper's,Rolando,Bennett,Guyon,Stener,A,72%,5%,16%,1%,6%,"Explanation:
Gamekeeper’s thumb
This is an avulsion fracture of the base of the proximal phalanx of the thumb associated with ulnar collateral ligament disruption.
Bennett fracture
This is a non-comminuted fracture which requires operative fixation due to the action of Abductor Pollicis Longus causing dorsolateral dislocation.
Rolando fracture
This descrives a comminuted fracture through the base of the thumb.
Guyon
Guyon’s canal transmits the ulnar nerve which can be injured in a Hamate hook fracture.
Stener lesion
A Stener lesion occurs when the Adductor tendon gets caught around the ulnar collateral ligament following a Game-keeper’s thumb injury. It is best appreciated on ultrasound (by an experienced MSK radiologist). This requires surgery.",TRUE,"I chose this answer because a Gamekeeper's fracture is an avulsion fracture of the proximal end of the proximal phalanx of the thumb, which is what was described in the question. This type of fracture occurs when the thumb is forced backwards, away from the hand, often during a sporting activity.",2,,B,FALSE,,C,TRUE,A
11911,206687,A 10-year-old boy with a history of impaired hearing has an erosive soft tissue mass in the middle ear. What is the most likely diagnosis?,SBA: Paediatrics,Acquired cholesteatoma,Cholesterol granuloma,Epidermoid cyst,Congenital cholesteatoma,Chronic otitis media,A,47%,3%,1%,45%,5%,"Explanation:
Normally acquired cholesteatomas have an age association of >40years or so and therefore you could be forgiven for thinking the answer was a congenital cholesteatoma. However these tend to present in younger children (a few months old to 5yrs) so this patient does not fit particularly well into either category. Congenital cholesteatomas are less destructive than the acquired form but can cause bony remodelling. Cholesteatomas are histologically epidermoid cysts. This is also therefore 'correct' however the answer option of acquired cholesteatoma is more specific to the vignette and is therefore more correct.
Cholesterol granulomas are cystic structures with imaging features that belie their contents, namely cholesterol and blood. Hence they tend to show high signal on both T1 and t2. They tend not to be erosive/aggressive when located in the middle ear although this is a feature which is seen when they are situated in the petrous apex.",TRUE,"I chose this answer because acquired cholesteatoma is the most common type of erosive soft tissue mass found in the middle ear in patients with a history of impaired hearing. It is a noncancerous growth of skin cells that can form in the middle ear and can cause hearing loss, dizziness, and facial nerve paralysis.",2,,A,TRUE,,A,FALSE,E
10241,206687,A 76-year-old farmer is undergoing a cardiac MRI for investigation of dyspnoeic symptoms. There is nodular pericardial thickening which shows high signal on T1 and low on T2 associated with a small pericardial effusion. What is the most likely diagnosis?,SBA: Cardiothoracic and vascular,Melanoma metastasis,Renal cell carcinoma metastasis,Lung cancer metastasis,Extrinsic Allergic Alveolitis,Mycobacterium Avium Intracellulare,A,84%,2%,3%,4%,7%,"Explanation:
MRI is seldom used in the world of pulmonary radiology. Nonetheless the physics is the same throughout the body in that there are a limited number of entities which show high signal on T1.
These are the 4Ms and the 3Fs, thus:
Melanin
Methaemoglobin (subacute haemorrhage)
Mineralisation (manganese, copper)
Magnevist (gadolinium contrast agents)
Fluid – proteinaceous (N.B posterior pituitary stores anti-diuretic hormone and is therefore bright)
Fat
Flow – slow
Arguably renal cell carcinoma metastases could cause high T1 signal since they can show haemorrhage however the clinical information in the question alludes to the patient having occupational exposure to sunlight predisposing him to melanoma formation.",FALSE,"Mycobacterium Avium Intracellulare is the most likely diagnosis because it is the most common cause of nodular pericardial thickening with high signal on T1 and low on T2 associated with a small pericardial effusion. This type of infection is more common in elderly patients, such as the farmer in the case, and is usually caused by inhaling airborne particles from a contaminated environment.",2,,B,TRUE,,A,FALSE,C
11416,206687,"A 39-year-old man complains to his GP of a lump in his scrotum. He is referred for an ultrasound scan which shows that there is a hypoechoic multilocular lesion at the head of the epididymis. On close inspection, there is echogenic moving material within. What is the most likely diagnosis?","SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",Spermatocoele,Epididymal cyst,Rete testis ectasia,Tunica albuginea cyst,Intratesticular cyst,A,87%,9%,3%,1%,1%,"Explanation:
Spermatocoele
A spermatocoele is a focal dilatation of a duct within the head of the epididymis. Since they contain protein debris and spermatozoa, low level echoes can be seen floating within them differentiating them from epididymal cysts. They are essentially an incidental asymptotic finding. 
  Epididymal cyst
A cystic structure within the epididymis is most commonly a simple cyst. They can present as palpable masses or be found incidentally. On ultrasound they behave as you might expect from a cyst, with posterior acoustic enhancement of an anechoic round structure. The main differential diagnosis is a spermatocoele which, unlike a simple cyst, usually contains echogenic material. The latter is usually only found in the epididymal head. 
  Rete testis ectasia
This is a relatively common finding in men around the age of 60. It is asymptomatic and therefore incidental. The rete testis is the name given to the tubules which collect spermatozoa from the seminiferous tubules and deliver them to the extra-testicular ducts. The normal rete testis is too small to appreciate with ultrasound but when, through age, the distal portion becomes stenosed, there is buildup of fluid within the rete testis. This is then seen as tubular branching anechoic structures within the testis.
  Tunica albuginea cyst
The tunica albuginea is a fibrous layer covering the testicle. On ultrasound it appears as the thin echogenic line surrounding the testicle. When cysts form here they are usually palpable as small well-defined lumps a few millimetres in diameter. Appearances on ultrasound usually conform to those expected from any straightforward cyst i.e. An sharply defined anechoic structure with acoustic enhancement posteriorly. They can be uni or multilocular and although they can exert mass effect on the underlying testicle they do not affect the testicular tissue beyond this. They are most commonly located at the anterosuperior or superolateral aspect of the testicle.
  Intratesticular cyst
These are not readily palpable and therefore are seen only as incidental findings. They demonstrate the usual characteristics of any cyst on ultrasound but are located within the testicle itself. They are inconsequential but for their distinction from cystic teratomas. The latter will have solid enhancing components on an MRI scan. Provided, however, there is no ambiguity on ultrasound, no further follow up would be needed for a straightforward intratesticular cyst.
  Seminoma
Germ cell tumours are divided into seminomas and non-seminomatous varieties. They are very common and comprise almost half of all testicular tumours. They can often be found incidentally or subsequent to any trauma which might cause the patient to self-examine and discover a testicular lump. Alternatively they can present as a vague dull scrotal aching sensation with no lump.
Lymphatic drainage is to the retroperitoneum. Para-aortic lymph nodes are therefore regional. Involvement of the internal, external and common iliac nodes however, is considered non-regional. Only if there has been previous scrotal or inguinal surgery disrupting tissue planes are inguinal or external iliac artery nodes considered regional.
They typically are found in patients in their 40s. Testicular tumours can be diagnosed with a strong pre-test probability based solely on age as detailed in the table below. On ultrasound there will be an intratesticular low reflectivity well-defined mass. Colour doppler flow can be seen within the mass.
  Age at diagnosis
Tumour
10s
Yolk sac tumour or teratoma
20s + 30s
Choriocarcinoma
30s
Embryonal cell carcinoma
40s
Seminoma",TRUE,I chose this option because a spermatocoele is a fluid-filled cystic structure within the testes that is often seen on ultrasound scans. It is usually located at the head of the epididymis and is characterized by a hypoechoic multilocular lesion with echogenic moving material within. This is the most likely diagnosis given the patient's symptoms.,2,,B,TRUE,,A,FALSE,C
12346,206687,"A 76-year-old man presents with Vernet syndrome. He undergoes an urgent MRI scan of his head which shows an irregular mass causing significant bony erosion, and extending into the middle ear. There is low signal on T1 and high signal on T2 with marked enhancement post-contrast. There are both flow voids and foci of hyperintensity within the mass. What is the most likely diagnosis?",SBA: Central Nervous and Head & Neck,Paraganglioma,Jugular foramen metastasis,Neural sheath tumour,Meningioma,PNET,A,77%,11%,4%,3%,6%,"Explanation:
Vernet syndrome is the name for a collection of symptoms caused by pathology at the jugular foramen and consequentially affecting cranial nerves IX, X and XI ie. Loss of taste to the posterior third of the tongue, vocal cord paralysis, dysphasia, weakness of sternocleidomastoid and trapezius.
There is a differential diagnosis for such pathology the identification of which will depend on the further imaging features provided. This question could easily be asked in a way to point to any of the other diagnoses provided.
A jugular foramen metastasis will be destructive and infiltrating with possible enlargement or pathological enhancement of the nerve roots and obliteration of normal fat planes. No particular history of a primary malignancy has been offered though.
A paraganglioma (or glomus jugulare tumour) is the most common cause of Vernet syndrome. This will cause infiltration of the connective tissue planes following the path of least resistance. There can be a moth eaten pattern of temporal bone destruction with associated ossicular destruction and consequential hearing loss. A so-called ‘salt and pepper’ appearance is classical.
A neural sheath tumour (ie a schwannoma or neurofibroma) will cause smooth scalloping of the adjacent bone.
A meningioma will have classical meningioma features (Extra-axial mass appearing isodense on CT with avid enhancement post-contrast, variable signal characteristics on MRI with avid enhancement post-contrast). Bony hyperostosis may be seen.
A PNET in this area would more usually present as a progressive bulbar palsy and appears as a destructive mass causing irregular bony destruction.",TRUE,"Paragangliomas are typically seen on MRI as irregular masses with bony erosion, low signal on T1, high signal on T2, and marked enhancement post-contrast. They can also have both flow voids and foci of hyperintensity within the mass. These characteristics are consistent with the findings of the MRI scan in this patient, making paraganglioma the most likely diagnosis.",2,,A,TRUE,,A,FALSE,C
14415,206687,You are reviewing a trauma CT scan for a 36-year-old patient following a multi-vehicle accident. There is an obvious pelvic fracture with active haemorrhage from an internal iliac vein tributary. How should this best be managed? Select ONE answer only.,SBA: Cardiothoracic and vascular,Pelvic binder,Angiogram and embolisation,Pelvic binder then angiogram,Laparoscopic surgery,Laparotomy,A,29%,38%,28%,1%,4%,"Explanation:
Please note that the vignette describes a venous bleeding point.
Arterial bleeding from pelvic fractures
Pelvic fractures in the context of trauma are a cause of significant morbidity and mortality. Life threatening haemorrhage may be caused by arterial bleeding or other sources such as the fractured bones themselves, and the pelvic venous structures. External fixation is one of the few means of managing acute haemorrhage in the pre-hospital setting however for arterial bleeding it is far less effective at tamponading ongoing haemorrhage. It remains the treatment of choice for bone bleeding or venous bleeding.
Catheter angiography and embolisation is the most effective method to control arterial haemorrhage. If the patient is haemodynamically unstable due to an arterial pelvic haemorrhage, catheter embolisation still provides the best hope for managing the patient successfully. Even if the patient has abdominal injuries which are likely to necessitate open abdominal trauma surgery, studies have shown that arterial pelvic bleeding should still be controlled via catheter embolisation prior to their open surgery.",FALSE,The best way to manage this injury is to perform an angiogram and embolisation. An angiogram is an imaging procedure that uses a contrast dye to visualize the blood vessels and identify any blockages or areas of active bleeding. Embolisation is a minimally invasive procedure that involves injecting a material into the blood vessels to stop the flow of blood. This is the most effective way to stop the active haemorrhage from the iliac vein tributary. Pelvic binders and laparoscopic surgery are not effective for this type of injury. Laparotomy is a more invasive procedure and should only be used as a last resort.,2,"3. A question about clinical management, what is the best treatment?

3. A question about clinical management, what is the best treatment?",B,FALSE,,B,FALSE,D
